[21:42:35] [INFO] received Windows console close event; shutting log-core down
[21:43:36] [INFO] received Windows console close event; shutting log-core down
[21:44:42] [INFO] received Windows console close event; shutting log-core down
[21:45:37] [INFO] received Windows console close event; shutting log-core down
[21:46:50] [INFO] received Windows console close event; shutting log-core down
[21:57:19] [INFO] received Windows console close event; shutting log-core down
[21:59:45] [INFO] received Windows console close event; shutting log-core down
[22:00:41] [INFO] received Windows console close event; shutting log-core down
[22:02:07] [INFO] received Windows console close event; shutting log-core down
[22:03:17] [INFO] received Windows console close event; shutting log-core down
[22:04:09] [INFO] received Windows console close event; shutting log-core down
[22:04:49] [INFO] received Windows console close event; shutting log-core down
[22:06:22] [INFO] received Windows console close event; shutting log-core down
[22:07:17] [INFO] received Windows console close event; shutting log-core down
[22:09:04] [INFO] received Windows console close event; shutting log-core down
[22:09:08] [INFO] received Windows console close event; shutting log-core down
[22:10:31] [INFO] received Windows console close event; shutting log-core down
[22:12:08] [INFO] received Windows console close event; shutting log-core down
[22:13:02] [INFO] received Windows console close event; shutting log-core down
[22:13:43] [INFO] received Windows console close event; shutting log-core down
[22:20:20] [INFO] received Windows console close event; shutting log-core down
[22:26:32] [INFO] received Windows console close event; shutting log-core down
[22:27:56] [INFO] received Windows console close event; shutting log-core down
[22:30:13] [INFO] received Windows console close event; shutting log-core down
[22:42:44] [INFO] received Windows console close event; shutting log-core down
[22:48:36] [INFO] received Windows console close event; shutting log-core down
[22:51:27] [INFO] received Windows console close event; shutting log-core down
